Result for 1000 requests of 8 bytes (1555689.25 microseconds, 2 threads):
RPS, 642.80
StdErr, 75.31
Min, 924.94
Max, 44027.06
Avg, 1555.69
50th, 1006.60
90th, 2004.66
99th, 2028.08
99.9th, 44027.06
99.99th, 44027.06
Result for 1000 requests of 32 bytes (1804560.41 microseconds, 2 threads):
RPS, 554.15
StdErr, 94.61
Min, 927.34
Max, 44030.39
Avg, 1804.56
50th, 1992.91
90th, 2006.84
99th, 2032.55
99.9th, 44030.39
99.99th, 44030.39
Result for 1000 requests of 128 bytes (1768706.10 microseconds, 2 threads):
RPS, 565.39
StdErr, 63.71
Min, 920.52
Max, 44042.27
Avg, 1768.71
50th, 1998.62
90th, 2006.89
99th, 2027.42
99.9th, 44042.27
99.99th, 44042.27
Result for 1000 requests of 256 bytes (1757544.28 microseconds, 2 threads):
RPS, 568.98
StdErr, 13.58
Min, 929.08
Max, 2078.72
Avg, 1757.54
50th, 1999.28
90th, 2006.82
99th, 2027.35
99.9th, 2078.72
99.99th, 2078.72
Result for 1000 requests of 512 bytes (1916561.39 microseconds, 2 threads):
RPS, 521.77
StdErr, 105.11
Min, 931.62
Max, 45048.63
Avg, 1916.56
50th, 1998.34
90th, 2007.01
99th, 2036.82
99.9th, 45048.63
99.99th, 45048.63
Result for 1000 requests of 1024 bytes (1487674.29 microseconds, 2 threads):
RPS, 672.19
StdErr, 15.83
Min, 935.09
Max, 2064.70
Avg, 1487.67
50th, 1018.24
90th, 2005.60
99th, 2022.20
99.9th, 2064.70
99.99th, 2064.70
Result for 1000 requests of 2048 bytes (1087585.38 microseconds, 2 threads):
RPS, 919.47
StdErr, 19.25
Min, 821.04
Max, 14061.12
Avg, 1087.59
50th, 999.99
90th, 1018.69
99th, 2003.14
99.9th, 14061.12
99.99th, 14061.12
Result for 1000 requests of 4096 bytes (1605543.08 microseconds, 2 threads):
RPS, 622.84
StdErr, 15.34
Min, 969.54
Max, 2985.43
Avg, 1605.54
50th, 1985.02
90th, 2004.70
99th, 2024.64
99.9th, 2985.43
99.99th, 2985.43
Result for 1000 requests of 8162 bytes (2442532.10 microseconds, 2 threads):
RPS, 409.41
StdErr, 289.33
Min, 1657.22
Max, 207078.54
Avg, 2442.53
50th, 1999.89
90th, 2025.99
99th, 2997.77
99.9th, 207078.54
99.99th, 207078.54
Result for 1000 requests of 16324 bytes (1999737.52 microseconds, 2 threads):
RPS, 500.07
StdErr, 0.94
Min, 1702.49
Max, 2293.99
Avg, 1999.74
50th, 1999.77
90th, 2011.85
99th, 2046.72
99.9th, 2293.99
99.99th, 2293.99
